company_name,role_title,status,priority,date_added,date_applied,source,location,work_type,salary_min,salary_max,contact_name,contact_email,next_follow_up,last_action_date,notes
Hagerty Consulting,Comprehensive Disaster Recovery Project Manager,Researching,High,2026-03-22,,Company Site,Remote,Remote,115000,150000,,,,"Pipeline/cadre position. Requires FEMA PA expertise (Categories C-G). Oversee multi-disciplinary recovery teams. Strong match for your background."
Hagerty Consulting,Recovery Managing Associate,Ready to Apply,High,2026-03-22,,Company Site,"New York, NY",Remote,70000,110000,,,,"3+ years relevant experience required. 2+ years FEMA PA/IA. Excel proficiency (pivot tables, VLOOKUP). Good mid-level entry point."
Hagerty Consulting,Emergency Management - IA/Housing Specialist,Researching,Medium,2026-03-22,,Company Site,Multiple States,Remote,70000,150000,,,,"Advise clients on IA and disaster housing programs. Requires Stafford Act knowledge (Sections 403, 408, 428). Wide salary range based on experience."
Hagerty Consulting,IMT Member - Response Cadre,Researching,Low,2026-03-22,,Company Site,Multiple States,Remote,0,0,,,,"On-call response support to state/local agencies. Good for getting in the door but cadre/on-call structure."
ICF International,Disaster Recovery PA Specialist,Ready to Apply,High,2026-03-22,,Company Site,Remote (Gulf Coast preferred),Remote,0,0,,,,"On-call position with travel. FEMA PA program delivery and project worksheet development. ICF's disaster management division."
ICF International,Program Business Analyst (Remote),Researching,Medium,2026-03-22,,LinkedIn,Reston VA (Remote),Remote,0,0,,,,"Analytical/documentation support for state or federally funded health initiatives. Could be a bridge role into consulting."
Tetra Tech,Senior Preparedness Project Manager,Ready to Apply,High,2026-03-22,,Company Site,Portland OR (Remote),Remote,0,0,,,,"Emergency Management Risk & Resilience team. Remote capacity. Senior-level preparedness focus."
Tetra Tech,Hazard Mitigation Project Manager,Researching,Medium,2026-03-22,,Company Site,Remote,Remote,0,0,,,,"Emergency Management Risk & Resilience team. Remote. Mitigation focus. Good fit if open to mitigation vs pure recovery."
Tetra Tech,FEMA PA Consultant (On-Call),Researching,Medium,2026-03-22,,Company Site,Remote,Remote,0,0,,,,"On-call/as-needed. Drafting FEMA PA Project Worksheets for category A-G. Travel required for multi-week assignments."
Tetra Tech,Program Manager - Disaster Recovery (Puerto Rico),Researching,Low,2026-03-22,,Company Site,"Puerto Rico (Remote option)",Hybrid,0,0,,,,"Large-scale FEMA and HUD programs. Requires travel to PR. Cool opportunity but location-dependent."
Tidal Basin,Recovery Senior Project Manager,Researching,High,2026-03-22,,Company Site,Remote,Remote,0,0,,,,"HUD and FEMA funded recovery/mitigation projects. 12+ years experience preferred but worth a shot. Federal grant management focus."
Tidal Basin,Public Assistance Technical Specialist,Ready to Apply,High,2026-03-22,,Indeed,Remote,Remote,0,0,,,,"FEMA PA program assistance, grant applications, compliance. Direct match for your FEMA contractor background."
Tidal Basin,Senior Project Manager - Public Health Grants,Researching,Low,2026-03-22,,LinkedIn,Remote,Remote,0,0,,,,"State-level public health and federal grant initiatives. 2 CFR 200 compliance. Different domain but transferable PM/grants skills."
AC Disaster Consulting,Consultant - Public Assistance,Ready to Apply,High,2026-03-22,,Company Site,Remote (up to 50% travel),Remote,65000,75000,,,,"Full-time regular. FEMA PA consulting. 2+ years FEMA PA experience, 3-5 years EM. Woman-owned small business. All positions remote."
AC Disaster Consulting,Emergency Management Response Cadre 2026,Researching,Medium,2026-03-22,,Company Site,Remote,Remote,0,0,,,,"Cadre/on-call response position. Good supplemental or foot-in-door option."
Witt O'Brien's,Emergency Response Consultant (On-Call),Researching,Medium,2026-03-22,,Company Site,"Houston TX (Remote)",Remote,0,0,,,,"Now part of Ambipar. On-call network consultant. 24/7 response services. Wide variety of EM experience valued."
Witt O'Brien's,Disaster Recovery Specialist,Researching,Medium,2026-03-22,,Indeed,"Los Angeles, CA",Hybrid,0,0,,,,"FEMA/EM agency experience required. LA-based but worth checking remote flexibility."
ServiceTitan,Enterprise Implementation Consultant,Researching,Medium,2026-03-22,,Indeed,Remote,Remote,0,0,,,,"Tech pivot track. SaaS implementation. Partner with Delivery Manager on client implementation phases. PM skills transfer well here."
Plaid,Implementation Specialist,Researching,Medium,2026-03-22,,Built In,Remote,Remote,0,0,,,,"Tech pivot track. Guide strategic customers through integration. Manage multiple projects, technical support, onboarding."
